"Dose","Drug","Response"
0.1,"Drug_A",87.6456263842536
0.1,"Drug_A",87.5391946975167
0.1,"Drug_A",90.2898344332763
0.5,"Drug_A",88.7580273045209
0.5,"Drug_A",87.967616200723
0.5,"Drug_A",89.7061426830215
1,"Drug_A",89.3520939230329
1,"Drug_A",84.2698622196655
1,"Drug_A",80.633586800497
5,"Drug_A",67.7499134470903
5,"Drug_A",64.320034873001
5,"Drug_A",64.3624191652311
10,"Drug_A",52.0511427393934
10,"Drug_A",49.430453985898
10,"Drug_A",47.5585645754909
50,"Drug_A",20.4909221961701
50,"Drug_A",19.8505325117937
50,"Drug_A",20.1398436084716
100,"Drug_A",15.5186362504741
100,"Drug_A",14.0067553846366
100,"Drug_A",16.0368285452591
0.1,"Drug_B",89.2418040268303
0.1,"Drug_B",90.3463410782992
0.1,"Drug_B",91.8764551767665
0.5,"Drug_B",88.7319707289296
0.5,"Drug_B",87.2097445761995
0.5,"Drug_B",90.1592229841642
1,"Drug_B",87.2389322637028
1,"Drug_B",86.3487184707947
1,"Drug_B",85.7293880220015
5,"Drug_B",64.482624246087
5,"Drug_B",68.4597412952258
5,"Drug_B",64.5379172238715
10,"Drug_B",54.3746659860332
10,"Drug_B",53.0652212523704
10,"Drug_B",49.528599281799
50,"Drug_B",18.0754734360582
50,"Drug_B",18.7075021092732
50,"Drug_B",20.6420826549849
100,"Drug_B",14.2546916912967
100,"Drug_B",14.0529902494259
100,"Drug_B",12.8448383136914
0.1,"Drug_C",89.59272170085
0.1,"Drug_C",88.1129682115537
0.1,"Drug_C",86.3468932772916
0.5,"Drug_C",87.1011547066865
0.5,"Drug_C",89.6996009653835
0.5,"Drug_C",86.7109138220452
1,"Drug_C",86.4678531962287
1,"Drug_C",82.0161591352003
1,"Drug_C",85.1408006207295
5,"Drug_C",66.7772508060527
5,"Drug_C",66.3407431224992
5,"Drug_C",65.9497887864637
10,"Drug_C",48.7185879833892
10,"Drug_C",48.3005913079328
10,"Drug_C",47.9517424187902
50,"Drug_C",20.363608430872
50,"Drug_C",18.2333660083022
50,"Drug_C",19.1472003492705
100,"Drug_C",14.2358910638249
100,"Drug_C",18.4357994586858
100,"Drug_C",13.4441756448305
